"1, Jonathan Taylor, RB, Indianapolis Colts, RB1"
"2, Christian McCaffrey, RB, Carolina Panthers, RB2"
"3, Cooper Kupp, WR, Los Angeles Rams, WR1"
"4, Austin Ekeler, RB, Los Angeles Chargers, RB3"
"5, Justin Jefferson, WR, Minnesota Vikings, WR2"
"6, Derrick Henry, RB, Tennessee Titans, RB4"
"7, Ja'Marr Chase, WR, Cincinnati Bengals, WR3"
"8, Dalvin Cook, RB, Minnesota Vikings, RB5"
"9, Najee Harris, RB, Pittsburgh Steelers, RB6"
"1,. Travis Kelce, TE, Kansas City Chiefs, TE1"
"11, Joe Mixon, RB, Cincinnati Bengals, RB7"
"12, Davante Adams, WR, Las Vegas Raiders, WR4"
"13, Alvin Kamara, RB, New Orleans Saints, RB8"
"14, Stefon Diggs, WR, Buffalo Bills, WR5"
"15, D'Andre Swift, RB, Detroit Lions, RB9"
"16, CeeDee Lamb, WR, Dallas Cowboys, WR6"
"17, Javonte Williams, RB, Denver Broncos, RB10"
"18, Deebo Samuel, WR, San Francisco 49ers, WR7"
"19, Tyreek Hill, WR, Miami Dolphins, WR8"
"20, Leonard Fournette, RB, Tampa Bay Buccaneers, RB11"
"21, Mark Andrews, TE, Baltimore Ravens, TE2"
"23, Keenan Allen, WR, Los Angeles Chargers, WR9"
"22, Aaron Jones, RB, Green Bay Packers, RB12"
"24, Saquon Barkley, RB, New York Giants, RB13"
"25, Nick Chubb, RB, Cleveland Browns, RB14"
"26, James Conner, RB, Arizona Cardinals, RB15"
"27, Kyle Pitts, TE, Atlanta Falcons, TE3"
"28, Michael Pittman Jr., WR, Indianapolis Colts, WR10"
"29, Cam Akers, RB, Los Angeles Rams, RB16"
"30, Tee Higgins, WR, Cincinnati Bengals, WR11"
"31, Josh Allen, QB, Buffalo Bills, QB1"
"32, David Montgomery, RB, Chicago Bears, RB17"
"33, Mike Evans, WR, Tampa Bay Buccaneers, WR12"
"34, A.J. Brown, WR, Philadelphia Eagles, WR13"
"35, Ezekiel Elliott, RB, Dallas Cowboys, RB18"
"36, DJ Moore, WR, Carolina Panthers, WR14"
"37, Jaylen Waddle, WR, Miami Dolphins, WR15"
"38, Travis Etienne Jr., RB, Jacksonville Jaguars, RB19"
"39, Patrick Mahomes, QB, Kansas City Chiefs, QB2"
"40, Diontae Johnson, WR, Pittsburgh Steelers, WR16"
"41, Terry McLaurin, WR, Washington Football Team, WR17"
"42, Justin Herbert, QB, Los Angeles Chargers, QB3"
"43, J.K. Dobbins, RB, Baltimore Ravens, RB20"
"44, DK Metcalf, WR, Seattle Seahawks, WR18"
"45, George Kittle, TE, San Francisco 49ers, TE4"
"46, Brandin Cooks, WR, Houston Texans, WR19"
"47, Breece Hall, RB, New York Jets, RB21"
"48, Mike Williams, WR, Los Angeles Chargers, WR20"
"49, Darren Waller, TE, Las Vegas Raiders, TE5"
"50, Josh Jacobs, RB, Las Vegas Raiders, RB22"
"51, Marquise Brown, WR, Arizona Cardinals, WR21"
"52, Jerry Jeudy, WR, Denver Broncos, WR22"
"53, Elijah Mitchell, RB, San Francisco 49ers, RB23"
"54, Clyde Edwards-Helaire, RB, Kansas City Chiefs, RB24"
"55, Lamar Jackson, QB, Baltimore Ravens, QB4"
"56, Darnell Mooney, WR, Chicago Bears, WR23"
"57, Courtland Sutton, WR, Denver Broncos, WR24"
"58, Amon-Ra St. Brown, WR, Detroit Lions, WR25"
"59, Kyler Murray, QB, Arizona Cardinals, QB5"
